Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Explicit Track
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,4/26/2024,QM24S2402528,1,725,390470936,0,0,92.0,0,0,0,0,0,0,0
Not Like Us,Not Like Us,Kendrick Lamar,5/4/2024,USUG12400910,2,545,323703884,0,0,92.0,0,0,0,0,0,0,1
i like the way you kiss me,I like the way you kiss me,Artemas,3/19/2024,QZJ842400387,3,538,601309283,0,0,92.0,0,0,0,0,0,0,0
Flowers,Flowers - Single,Miley Cyrus,1/12/2023,USSM12209777,4,444,2031280633,0,0,85.0,0,0,0,0,0,0,0
Houdini,Houdini,Eminem,5/31/2024,USUG12403398,5,423,107034922,0,0,88.0,0,0,0,0,0,0,1
Lovin On Me,Lovin On Me,Jack Harlow,11/10/2023,USAT22311371,6,410,670665438,0,0,83.0,0,0,0,0,0,0,1
Beautiful Things,Beautiful Things,Benson Boone,1/18/2024,USWB12307016,7,407,900158751,0,0,86.0,0,0,0,0,0,0,0
Gata Only,Gata Only,Floyymenor,2/2/2024,QZL382406049,8,375,675079153,0,0,92.0,0,0,0,0,0,0,1
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,Music Lab Jpn,6/9/2024,TCJPA2463708,9,355,1653018119,1,15,,0,0,0,0,0,0,1
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,5/23/2024,USSM12404354,10,330,90676573,0,0,86.0,0,0,0,0,0,0,1
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,5/10/2024,USUM72404990,11,322,250080413,0,0,91.0,0,0,0,0,0,0,1
The Door,The Door,Teddy Swims,6/14/2024,USWB12402486,12,320,111155129,2,0,,0,0,0,0,0,0,1
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401991,13,316,221636195,0,0,92.0,0,0,0,0,0,0,0
Like That,WE DON'T TRUST YOU,Future,3/22/2024,USSM12402041,14,308,355186436,0,0,88.0,0,0,0,0,0,0,1
bathroom floor,bathroom floor,Kids With Buns,10/7/2022,NLC242100307,15,301,297185,277,0,12.0,0,0,3,0,0,0,0
LALA,LALA - Single,Myke Towers,3/22/2023,USWL12300002,16,299,925655569,0,0,79.0,0,0,0,0,0,0,1
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,USUG12401028,17,297,395433400,0,0,89.0,0,0,0,0,0,0,0
greedy,greedy,Tate Mcrae,9/14/2023,USRC12301932,18,293,1258569694,0,0,87.0,0,0,0,0,0,0,1
BLUE,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401996,19,292,91272461,0,0,86.0,0,0,0,0,0,0,0
As It Was,As It Was,Harry Styles,3/31/2022,USSM12200612,20,292,3301814535,0,0,87.0,0,0,0,0,0,0,0
Paint The Town Red,Paint The Town Red,Doja Cat,8/4/2023,USRC12300907,21,290,1065399331,0,0,78.0,0,0,0,0,0,0,1
Espresso,Espresso,Sabrina Carpenter,4/12/2024,USUM72403305,22,281,547882871,0,0,95.0,0,0,0,0,0,0,1
Danza Kuduro - Cover,CLUB DE YOKUKIKU YOUGAKU MEDLEY,Music Lab Jpn,5/21/2024,TCJPA2445163,23,279,1655575417,10,655,,0,0,0,0,0,0,1
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncï¿,2/10/2024,USSM12401302,24,278,426700979,0,0,86.0,0,0,0,0,0,0,1
Future,Future,Official Sound Studio,1/10/2024,RUA1H2415548,25,277,0,1,2,,0,0,0,0,0,0,0
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,Wz Beat,5/24/2022,BXWEH2200054,26,268,7382759,0,0,35.0,0,0,0,0,0,0,0
STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid Laroi,7/9/2021,USSM12103949,27,266,3107100349,0,0,78.0,0,0,0,0,0,0,1
Baby Shark,ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý,Pinkfong,12/1/2015,KRE671700001,28,265,720822868,0,0,71.0,0,0,0,0,0,0,0
we can't be friends (wait for your love),eternal sunshine,Ariana Grande,3/8/2024,USUM72317276,29,262,591068364,0,0,87.0,0,0,0,0,0,0,0
Numb / Encore,Papercuts,Jay-Z,4/12/2024,USWB12400678,30,256,1003215671,128,0,,0,0,0,0,0,0,1
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýý,Love Bgm Jpn,5/14/2024,TCJPA2406007,31,249,1645079292,0,0,,0,0,0,0,0,0,1
SHEESH,BABYMONS7ER,Babymonster,4/1/2024,KRA402400016,32,237,124893397,0,0,82.0,0,0,0,0,0,0,0
Water,Water,Tyla,7/28/2023,USSM12305126,33,234,670376179,0,0,83.0,0,0,0,0,0,0,0
Strangers,Strangers,Kenya Grace,9/1/2023,USWB12305048,34,233,750154960,0,0,79.0,0,0,0,0,0,0,0
Too Sweet,Unreal Unearth: Unheard,Hozier,3/22/2024,USSM12401865,35,231,532012790,0,0,,0,0,0,0,0,0,0
What's Love Got to Do with It - 2023 Remaster,What's Love Got to Do with It (30th Anniversary Deluxe Edition),Tina Turner,4/26/2024,GBAYE2300351,36,230,479417905,7,0,,0,0,0,0,0,0,0
A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,4/12/2024,USUYG1541249,37,226,311928522,0,0,96.0,0,0,0,0,0,0,1
Lose Control,Lose Control,Teddy Swims,6/23/2023,USWB12302315,38,224,775135157,0,0,87.0,0,0,0,0,0,0,0
fukumean,fukumean,Gunna,6/15/2023,USAT22306575,39,221,759998727,0,0,80.0,0,0,0,0,0,0,1
Dance Monkey,Dance Monkey,Tones And I,5/10/2019,QZES71982312,40,214,3071214106,0,0,71.0,0,0,0,0,0,0,0
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401994,41,212,214237645,0,0,92.0,0,0,0,0,0,0,0
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,Sped Up 8282,4/8/2023,KRA252300672,42,211,170970614,0,0,41.0,0,0,0,0,0,0,1
I'm Good (Blue),I'm Good (Blue),David Guetta,8/26/2022,UKWLG2200055,43,209,1658229422,0,0,83.0,0,0,0,0,0,0,1
Daylight,Daylight,David Kushner,4/14/2023,QZXDB2300005,44,207,1126820069,0,0,82.0,0,0,0,0,0,0,0
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,9/15/2023,USJ5G2335007,45,206,997702304,0,0,86.0,0,0,0,0,0,0,0
Please Please Please,Please Please Please,Sabrina Carpenter,6/6/2024,USUM72404101,46,205,59314441,0,0,83.0,0,0,0,0,0,0,1
Houdini,Houdini - Single,Dua Lipa,11/9/2023,GBAHT2301246,47,205,493627071,0,0,80.0,0,0,0,0,0,0,0
Danza Kuduro - Cover,GEKIATU BEST AGE SONG - CLUB SONG,Music Lab Jpn,5/2/2024,TCJPA2415647,48,204,1655575417,9,85,,0,0,0,0,0,0,1
If We Ever Broke Up,If We Ever Broke Up,Mae Stephens,2/10/2023,GBUM72300969,49,203,304929492,0,0,69.0,0,0,0,0,0,0,1
Despacito,Despacito (Featuring Daddy Yankee),Luis Fonsi,1/13/2017,USUM71607007,50,203,1747093405,0,0,74.0,0,0,0,0,0,0,0
euphoria,euphoria,Kendrick Lamar,4/30/2024,USUG12402839,51,202,168434320,0,0,86.0,0,0,0,0,0,0,1
Panda Basi,Panda Basi - EP,Mvua,2/10/2023,GX3Q92333626,52,200,104271,249,0,25.0,0,0,190,0,0,0,0
Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,8/25/2022,NGA3B2214021,53,198,1391688322,0,0,77.0,0,0,599,0,0,0,0
Shape of You,Shape of You,Ed Sheeran,1/6/2017,GBAHS1600463,54,195,3909458734,0,0,80.0,0,0,0,0,0,0,0
Mitu,Mitu - Single,Maian,1/19/2023,EEUM72300001,55,194,55346,42,0,13.0,0,0,0,0,0,0,0
Blinding Lights,Blinding Lights,The Weeknd,11/29/2019,USUG11904206,56,194,4281468720,0,0,83.0,0,0,0,0,0,0,0
Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin,12/2/2022,USUG12208791,57,192,1337619917,0,0,80.0,0,0,0,0,0,0,1
Dona Felicidade,Dona Felicidade,Patati Patatï¿,6/4/2024,QZNJW2423715,58,190,0,2,0,,0,0,0,0,0,0,0
Danza Kuduro - Cover,YOUGAKU MORIMORI CLUB MEDLEY,Music Lab Jpn,4/29/2024,TCJPA2420090,59,190,1655575417,1,3,,0,0,0,0,0,0,1
Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,9/22/2022,GBUM72205415,60,189,1556275789,0,0,74.0,0,0,0,0,0,0,0
Stereo Love - Melodic,Stereo Love Deluxe (feat. Vika Jigulina),Edward Maya,6/5/2024,ROCMA2413380,61,187,0,2,135,9.0,0,0,0,0,0,0,0
Very Cute Melody by Marimba Tone (39813),Very Cute Melody by Marimba Tone (39813),Mitsu Sound,12/31/2023,RUA1H2406425,62,186,1384,2,801,,0,0,0,0,0,0,0
Supernova,Supernova,Aespa,5/13/2024,KRA302400090,63,186,69729033,0,0,81.0,0,0,0,0,0,0,0
